Time,x,y,Formula
2023-08-26 19:44:01.920173,5742,-55,-315810
2023-08-26 19:44:02.050900,5742,-55,-315810
2023-08-26 19:44:02.188857,5742,-55,-315810
2023-08-26 19:44:02.328530,5743,-55,-315865
2023-08-26 19:44:02.465335,5743,-55,-315865
2023-08-26 19:44:03.266919,5743,-54,-310122
2023-08-26 19:44:03.400354,5744,-53,-304432
2023-08-26 19:44:03.538470,5744,-53,-304432
2023-08-26 19:44:03.674627,5745,-54,-310230
2023-08-26 19:44:03.812381,5744,-53,-304432
2023-08-26 19:44:03.952778,5744,-52,-298688
2023-08-26 19:44:04.089856,5745,-53,-304485
2023-08-26 19:44:04.226183,5744,-53,-304432
2023-08-26 19:44:04.364727,5744,-53,-304432
2023-08-26 19:44:04.504824,5743,-53,-304379
2023-08-26 19:44:04.646497,5743,-53,-304379
2023-08-26 19:44:04.783260,5742,-53,-304326
2023-08-26 19:44:04.917543,5742,-54,-310068
2023-08-26 19:44:05.057084,5742,-53,-304326
2023-08-26 19:44:05.195147,5742,-53,-304326
2023-08-26 19:44:05.334053,5742,-54,-310068
2023-08-26 19:44:05.472690,5742,-54,-310068
2023-08-26 19:44:05.608771,5742,-53,-304326
2023-08-26 19:44:05.747022,5743,-53,-304379
2023-08-26 19:44:05.889115,5743,-53,-304379
2023-08-26 19:44:06.034384,5744,-53,-304432
2023-08-26 19:44:06.171254,5744,-52,-298688
2023-08-26 19:44:06.312041,5744,-52,-298688
2023-08-26 19:44:06.448423,5743,-53,-304379
2023-08-26 19:44:06.605999,5744,-53,-304432
2023-08-26 19:44:06.755239,5744,-53,-304432
2023-08-26 19:44:06.899018,5742,-54,-310068
2023-08-26 19:44:07.041912,5739,-56,-321384
2023-08-26 19:44:07.183909,5739,-56,-321384
2023-08-26 19:44:07.333655,5740,-56,-321440
2023-08-26 19:44:07.473402,5740,-56,-321440
2023-08-26 19:44:07.614639,5742,-54,-310068
2023-08-26 19:44:07.754616,5742,-54,-310068
2023-08-26 19:44:07.893396,5742,-54,-310068
2023-08-26 19:44:08.032560,5743,-54,-310122
2023-08-26 19:44:08.179611,5742,-54,-310068
2023-08-26 19:44:08.320386,5742,-54,-310068
2023-08-26 19:44:08.457906,5745,-55,-315975
2023-08-26 19:44:08.598585,5744,-55,-315920
2023-08-26 19:44:08.737123,5744,-55,-315920
2023-08-26 19:44:08.877453,5744,-55,-315920
2023-08-26 19:44:09.016966,5743,-55,-315865
2023-08-26 19:44:09.823175,5743,-53,-304379
2023-08-26 19:44:09.965053,5743,-53,-304379
2023-08-26 19:44:10.106164,5743,-53,-304379
2023-08-26 19:44:10.264199,5743,-53,-304379
2023-08-26 19:44:10.421097,5743,-53,-304379
2023-08-26 19:44:10.562086,5743,-53,-304379
2023-08-26 19:44:10.701873,5744,-53,-304432
2023-08-26 19:44:10.843290,5744,-53,-304432
2023-08-26 19:44:10.985002,5744,-53,-304432
2023-08-26 19:44:11.124178,5744,-53,-304432
2023-08-26 19:44:11.262193,5743,-53,-304379
2023-08-26 19:44:11.401329,5743,-55,-315865
2023-08-26 19:44:11.549523,5743,-55,-315865
2023-08-26 19:44:11.733634,5743,-55,-315865
2023-08-26 19:44:11.891423,5743,-55,-315865
2023-08-26 19:44:12.041325,5744,-55,-315920
2023-08-26 19:44:12.194420,5741,-59,-338719
2023-08-26 19:44:12.354705,5740,-59,-338660
2023-08-26 19:44:12.504456,5741,-59,-338719
2023-08-26 19:44:12.651216,5741,-59,-338719
2023-08-26 19:44:12.794893,5741,-59,-338719
2023-08-26 19:44:15.198864,5744,-54,-310176
2023-08-26 19:44:15.344367,5744,-54,-310176
2023-08-26 19:44:15.486924,5743,-54,-310122
2023-08-26 19:44:15.634311,5743,-54,-310122
2023-08-26 19:44:15.779508,5743,-54,-310122
2023-08-26 19:44:15.924542,5741,-57,-327237
2023-08-26 19:44:16.068099,5741,-57,-327237
2023-08-26 19:44:16.213800,5741,-57,-327237
2023-08-26 19:44:16.360641,5741,-58,-332978
2023-08-26 19:44:16.506169,5741,-57,-327237
2023-08-26 19:44:17.212821,5743,-54,-310122
2023-08-26 19:44:17.352966,5743,-54,-310122
2023-08-26 19:44:17.499825,5743,-54,-310122
2023-08-26 19:44:17.644777,5743,-54,-310122
2023-08-26 19:44:17.796075,5743,-54,-310122
2023-08-26 19:44:17.942317,5742,-53,-304326
2023-08-26 19:44:18.241901,5743,-54,-310122
2023-08-26 19:44:18.385265,5743,-54,-310122
