,time,x,y,formula
0,2023-08-26 19-44-35,5741,-56,-321496
1,2023-08-26 19-44-35,5742,-56,-321552
2,2023-08-26 19-44-35,5742,-56,-321552
3,2023-08-26 19-44-35,5741,-55,-315755
4,2023-08-26 19-44-36,5741,-55,-315755
5,2023-08-26 19-44-36,5741,-55,-315755
6,2023-08-26 19-44-36,5741,-55,-315755
7,2023-08-26 19-44-36,5741,-55,-315755
8,2023-08-26 19-44-37,5744,-66,-379104
9,2023-08-26 19-44-40,5744,-54,-310176
10,2023-08-26 19-44-40,5744,-54,-310176
11,2023-08-26 19-44-40,5744,-54,-310176
12,2023-08-26 19-44-40,5743,-54,-310122
13,2023-08-26 19-44-40,5743,-54,-310122
14,2023-08-26 19-44-40,5745,-55,-315975
15,2023-08-26 19-44-41,5744,-55,-315920
16,2023-08-26 19-44-41,5744,-56,-321664
17,2023-08-26 19-44-41,5743,-56,-321608
18,2023-08-26 19-44-41,5744,-55,-315920
19,2023-08-26 19-44-41,5744,-55,-315920
20,2023-08-26 19-44-41,5743,-54,-310122
21,2023-08-26 19-44-42,5742,-55,-315810
22,2023-08-26 19-44-42,5741,-55,-315755
23,2023-08-26 19-44-42,5741,-55,-315755
24,2023-08-26 19-44-42,5741,-55,-315755
25,2023-08-26 19-44-42,5740,-55,-315700
26,2023-08-26 19-44-43,5741,-55,-315755
27,2023-08-26 19-44-43,5741,-55,-315755
28,2023-08-26 19-44-43,5740,-56,-321440
29,2023-08-26 19-44-43,5741,-54,-310014
30,2023-08-26 19-44-43,5746,-53,-304538
31,2023-08-26 19-44-43,5742,-53,-304326
32,2023-08-26 19-44-44,5746,-53,-304538
33,2023-08-26 19-44-44,5742,-53,-304326
34,2023-08-26 19-44-44,5743,-53,-304379
35,2023-08-26 19-44-44,5744,-54,-310176
36,2023-08-26 19-44-44,5744,-54,-310176
37,2023-08-26 19-44-45,5743,-54,-310122
38,2023-08-26 19-44-45,5744,-54,-310176
39,2023-08-26 19-44-45,5746,-54,-310284
40,2023-08-26 19-44-45,5744,-60,-344640
41,2023-08-26 19-44-45,5745,-60,-344700
42,2023-08-26 19-44-46,5744,-60,-344640
43,2023-08-26 19-44-46,5743,-60,-344580
44,2023-08-26 19-44-46,5743,-60,-344580
45,2023-08-26 19-44-46,5741,-54,-310014
46,2023-08-26 19-44-47,5741,-54,-310014
47,2023-08-26 19-44-47,5740,-54,-309960
48,2023-08-26 19-44-47,5741,-54,-310014
49,2023-08-26 19-44-47,5741,-54,-310014
